audio,contain speech,female speak,male speak,female transcript,male transcript,annotate,useful annotates,female chunk number,aligned female chunk number,female align percentage,male chunk number,aligned male chunk number,male align percentage,Arousal,Valence,Arousal_binary,Valence_binary,check annotation,check female transcript,check male transcript,check date,romantic interaction,romantic interaction & both speak
P_003\Day_3\Hour_6\11-20-2019 06_44_31,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,30,65,0,1,1,1,1,1,0,-1
P_003\Day_4\Hour_19\11-21-2019 19_31_09,yes,yes,yes,1,1,1,7,7,5,0.714285714,1,1,1,66,70,1,1,1,1,1,1,1,1
P_003\Day_4\Hour_20\11-21-2019 20_44_33,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,32,67,0,1,1,1,1,1,0,-1
P_003\Day_4\Hour_6\11-21-2019 06_44_33,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,45,64,0,1,1,1,1,1,0,-1
P_003\Day_5\Hour_19\11-22-2019 19_21_45,yes,yes,yes,1,1,1,17,9,3,0.333333333,9,4,0.444444444,45,69,0,1,1,1,1,1,1,1
P_003\Day_5\Hour_20\11-22-2019 20_37_17,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,42,77,0,1,1,1,1,1,0,-1
P_003\Day_5\Hour_6\11-22-2019 06_44_35,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_003\Day_6\Hour_10\11-23-2019 10_08_30,yes,yes,yes,1,1,1,9,8,2,0.25,5,1,0.2,100,100,1,1,1,1,1,1,1,1
P_003\Day_6\Hour_11\11-23-2019 11_05_55,yes,no,no,0,0,1,5,-1,-1,-1,-1,-1,-1,95,83,1,1,1,1,1,1,0,-1
P_003\Day_6\Hour_12\11-23-2019 12_00_44,yes,yes,yes,1,1,1,3,13,2,0.153846154,1,0,0,100,93,1,1,1,1,1,1,1,1
P_003\Day_6\Hour_13\11-23-2019 13_15_41,yes,yes,yes,1,1,1,14,11,3,0.272727273,7,4,0.571428571,100,100,1,1,1,1,1,1,1,1
P_003\Day_6\Hour_9\11-23-2019 09_04_17,yes,yes,yes,1,1,1,18,20,8,0.4,16,3,0.1875,95,86,1,1,1,1,1,1,1,1
P_004\Day_0\Hour_10\12-01-2019 10_02_14,yes,yes,yes,1,1,1,12,18,2,0.111111111,10,3,0.3,100,100,1,1,1,1,1,1,1,1
P_004\Day_0\Hour_11\12-01-2019 11_01_10,no,no,no,0,0,1,1,-1,-1,-1,-1,-1,-1,100,96,1,1,1,1,1,1,0,-1
P_004\Day_0\Hour_12\12-01-2019 12_44_00,yes,yes,no,1,1,1,0,1,0,0,0,0,0,99,100,1,1,1,1,0,1,0,-1
P_004\Day_0\Hour_13\12-01-2019 13_44_00,no,no,no,0,0,1,11,-1,-1,-1,-1,-1,-1,50,100,0,1,1,1,1,1,0,-1
P_004\Day_0\Hour_14\12-01-2019 14_44_00,yes,yes,yes,1,1,1,22,19,8,0.421052632,20,11,0.55,-1,-1,-1,-1,1,1,1,1,1,1
P_004\Day_0\Hour_15\12-01-2019 15_31_00,yes,yes,yes,1,1,1,11,6,6,1,2,0,0,100,100,1,1,1,1,1,1,1,1
P_004\Day_0\Hour_16\12-01-2019 16_44_00,yes,no,no,0,0,1,27,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_004\Day_0\Hour_17\12-01-2019 17_44_00,yes,yes,no,1,0,1,0,16,0,0,-1,-1,-1,94,96,1,1,1,1,1,1,0,-1
P_004\Day_0\Hour_18\12-01-2019 18_10_45,yes,yes,yes,1,1,1,2,2,0,0,2,0,0,100,92,1,1,1,1,1,1,1,1
P_004\Day_0\Hour_19\12-01-2019 19_00_53,yes,yes,yes,1,1,1,0,5,0,0,2,0,0,77,80,1,1,1,1,1,1,1,1
P_004\Day_0\Hour_20\12-01-2019 20_05_33,yes,yes,yes,1,1,1,0,13,0,0,19,0,0,91,89,1,1,1,1,1,1,1,1
P_004\Day_0\Hour_21\12-01-2019 21_43_59,yes,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_0\Hour_22\12-01-2019 22_44_00,yes,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_0\Hour_8\12-01-2019 08_44_00,yes,yes,yes,1,1,0,-1,3,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_004\Day_0\Hour_9\12-01-2019 09_00_15,yes,yes,yes,1,1,1,0,4,0,0,15,0,0,97,97,1,1,1,1,1,1,1,1
P_004\Day_1\Hour_16\11-25-2019 16_44_00,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_1\Hour_17\11-25-2019 17_44_00,yes,yes,no,1,0,0,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,-1
P_004\Day_1\Hour_18\11-25-2019 18_44_00,yes,yes,no,1,0,1,2,19,1,0.052631579,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_1\Hour_19\11-25-2019 19_44_00,yes,yes,no,1,0,1,59,13,11,0.846153846,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_1\Hour_20\11-25-2019 20_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_1\Hour_21\11-25-2019 21_44_00,yes,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_1\Hour_22\11-25-2019 22_44_01,yes,no,no,0,0,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_1\Hour_7\11-25-2019 07_36_23,yes,yes,yes,1,1,1,30,4,4,1,15,15,1,-1,-1,-1,-1,1,1,1,1,1,1
P_004\Day_2\Hour_16\11-26-2019 16_44_02,no,no,no,0,0,1,1,-1,-1,-1,-1,-1,-1,87,82,1,1,1,1,1,1,0,-1
P_004\Day_2\Hour_17\11-26-2019 17_44_02,yes,no,no,0,0,1,15,-1,-1,-1,-1,-1,-1,89,87,1,1,1,1,1,1,0,-1
P_004\Day_2\Hour_18\11-26-2019 18_44_03,yes,yes,no,1,0,0,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,-1
P_004\Day_2\Hour_19\11-26-2019 19_44_03,yes,yes,no,1,0,1,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_2\Hour_20\11-26-2019 20_44_03,yes,yes,no,1,0,1,1,5,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_2\Hour_21\11-26-2019 21_37_45,yes,yes,yes,1,1,0,-1,10,-1,-1,3,-1,-1,100,100,1,1,0,1,1,1,1,1
P_004\Day_2\Hour_7\11-26-2019 07_44_01,yes,yes,yes,1,1,1,53,11,11,1,15,14,0.933333333,-1,-1,-1,-1,1,1,1,1,1,1
P_004\Day_3\Hour_16\11-27-2019 16_44_05,yes,yes,no,1,0,1,0,14,0,0,-1,-1,-1,81,89,1,1,1,1,1,1,0,-1
P_004\Day_3\Hour_17\11-27-2019 17_44_05,yes,yes,no,1,0,1,10,17,5,0.294117647,-1,-1,-1,93,83,1,1,1,1,1,1,0,-1
P_004\Day_3\Hour_7\11-27-2019 07_44_04,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,83,50,1,0,1,1,1,1,0,-1
P_004\Day_4\Hour_16\11-28-2019 16_35_56,yes,yes,yes,1,1,1,0,5,0,0,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_004\Day_4\Hour_17\11-28-2019 17_15_48,yes,yes,yes,1,1,1,13,17,4,0.235294118,17,2,0.117647059,100,88,1,1,1,1,1,1,1,1
P_004\Day_4\Hour_18\11-28-2019 18_16_11,yes,yes,no,1,0,0,-1,13,-1,-1,-1,-1,-1,100,100,1,1,0,1,1,1,0,-1
P_004\Day_4\Hour_19\11-28-2019 19_42_55,yes,yes,no,1,0,1,0,20,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_4\Hour_20\11-28-2019 20_44_00,yes,yes,no,1,0,1,0,17,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_4\Hour_21\11-28-2019 21_44_00,yes,yes,yes,1,1,0,-1,17,-1,-1,12,-1,-1,-1,-1,-1,-1,0,1,1,1,0,-1
P_004\Day_4\Hour_22\11-28-2019 22_44_00,yes,yes,yes,1,1,0,-1,18,-1,-1,12,-1,-1,-1,-1,-1,-1,0,1,1,1,0,-1
P_004\Day_4\Hour_7\11-28-2019 07_00_48,yes,yes,yes,1,1,1,32,17,10,0.588235294,17,5,0.294117647,89,89,1,1,1,1,1,1,1,1
P_004\Day_5\Hour_16\11-29-2019 16_44_00,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,92,100,1,1,1,1,1,1,0,-1
P_004\Day_5\Hour_17\11-29-2019 17_44_00,yes,yes,yes,1,1,0,-1,5,-1,-1,2,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_004\Day_5\Hour_18\11-29-2019 18_07_07,yes,yes,yes,1,1,0,-1,4,-1,-1,4,-1,-1,100,97,1,1,0,1,1,1,1,1
P_004\Day_5\Hour_19\11-29-2019 19_03_09,yes,yes,yes,1,1,1,5,18,2,0.111111111,15,1,0.066666667,100,100,1,1,1,1,1,1,1,1
P_004\Day_5\Hour_20\11-29-2019 20_43_59,yes,yes,yes,1,1,1,0,6,0,0,3,0,0,95,100,1,1,1,1,1,1,1,1
P_004\Day_5\Hour_21\11-29-2019 21_10_04,yes,yes,yes,1,1,0,-1,10,-1,-1,3,-1,-1,75,100,1,1,0,1,1,1,1,1
P_004\Day_5\Hour_22\11-29-2019 22_02_17,yes,yes,yes,1,1,0,-1,8,-1,-1,4,-1,-1,20,84,0,1,0,1,1,1,1,1
P_004\Day_5\Hour_7\11-29-2019 07_44_00,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_6\Hour_10\11-30-2019 10_03_59,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,90,1,1,1,1,1,1,0,-1
P_004\Day_6\Hour_11\11-30-2019 11_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_6\Hour_12\11-30-2019 12_44_02,no,no,no,0,0,1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_6\Hour_13\11-30-2019 13_44_02,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_6\Hour_14\11-30-2019 14_44_02,no,no,no,0,0,1,38,-1,-1,-1,-1,-1,-1,98,100,1,1,1,1,1,1,0,-1
P_004\Day_6\Hour_15\11-30-2019 15_44_02,no,no,no,0,0,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_004\Day_6\Hour_8\11-30-2019 08_19_14,yes,yes,yes,1,1,0,-1,7,-1,-1,6,-1,-1,100,100,1,1,0,1,1,1,1,1
P_004\Day_6\Hour_9\11-30-2019 09_44_01,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_0\Hour_10\12-01-2019 10_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,23,61,0,1,1,1,1,1,0,-1
P_005\Day_0\Hour_11\12-01-2019 11_31_24,yes,yes,yes,1,1,1,2,3,0,0,2,0,0,79,82,1,1,1,1,1,1,1,1
P_005\Day_0\Hour_12\12-01-2019 12_05_54,yes,yes,yes,1,1,1,0,16,0,0,12,0,0,85,83,1,1,1,1,1,1,1,1
P_005\Day_0\Hour_13\12-01-2019 13_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,90,89,1,1,1,1,1,1,1,0
P_005\Day_0\Hour_14\12-01-2019 14_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,85,87,1,1,1,1,1,1,1,0
P_005\Day_0\Hour_15\12-01-2019 15_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,70,82,1,1,1,1,1,1,0,-1
P_005\Day_0\Hour_16\12-01-2019 16_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,75,88,1,1,1,1,1,1,0,-1
P_005\Day_0\Hour_17\12-01-2019 17_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,69,75,1,1,1,1,1,1,0,-1
P_005\Day_0\Hour_18\12-01-2019 18_44_00,yes,yes,yes,1,1,1,4,9,2,0.222222222,9,1,0.111111111,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_0\Hour_19\12-01-2019 19_06_02,yes,yes,yes,1,1,1,2,15,1,0.066666667,12,0,0,73,86,1,1,1,1,1,1,0,-1
P_005\Day_0\Hour_20\12-01-2019 20_03_43,yes,yes,yes,1,1,1,5,12,2,0.166666667,17,2,0.117647059,80,71,1,1,1,1,1,1,1,1
P_005\Day_0\Hour_8\12-01-2019 08_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_0\Hour_9\12-01-2019 09_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_1\Hour_19\11-25-2019 19_44_00,yes,yes,yes,1,1,1,0,5,0,0,7,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_1\Hour_20\11-25-2019 20_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_1\Hour_21\11-25-2019 21_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_1\Hour_22\11-25-2019 22_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_2\Hour_19\11-26-2019 19_09_24,yes,yes,yes,1,1,1,0,11,0,0,12,0,0,60,64,1,1,1,1,1,1,1,1
P_005\Day_2\Hour_20\11-26-2019 20_44_01,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,50,61,0,1,1,1,1,1,0,-1
P_005\Day_2\Hour_21\11-26-2019 21_44_01,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,27,72,0,1,1,1,1,1,0,-1
P_005\Day_2\Hour_22\11-26-2019 22_44_02,yes,yes,yes,1,1,1,0,2,0,0,2,0,0,25,66,0,1,1,1,1,1,1,1
P_005\Day_2\Hour_6\11-26-2019 06_44_01,yes,yes,yes,1,1,1,0,3,0,0,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_005\Day_3\Hour_19\11-27-2019 19_44_03,yes,yes,no,1,0,1,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_3\Hour_20\11-27-2019 20_44_03,yes,yes,no,1,0,1,0,14,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_3\Hour_21\11-27-2019 21_44_03,yes,yes,yes,1,1,1,1,6,1,0.166666667,6,0,0,50,82,0,1,1,1,1,1,1,1
P_005\Day_3\Hour_22\11-27-2019 22_44_03,yes,yes,no,1,0,1,0,1,0,0,-1,-1,-1,26,65,0,1,1,1,1,1,0,-1
P_005\Day_3\Hour_6\11-27-2019 06_17_11,yes,yes,yes,1,1,1,0,3,0,0,16,0,0,0,75,0,1,1,1,1,1,1,1
P_005\Day_4\Hour_19\11-28-2019 19_44_06,yes,no,no,0,0,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_4\Hour_20\11-28-2019 20_44_06,yes,yes,no,1,0,1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_4\Hour_21\11-28-2019 21_44_06,yes,yes,no,1,0,1,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_4\Hour_22\11-28-2019 22_44_06,yes,yes,no,1,0,1,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_4\Hour_6\11-28-2019 06_44_05,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_5\Hour_19\11-29-2019 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,71,71,1,1,1,1,1,1,0,-1
P_005\Day_5\Hour_20\11-29-2019 20_44_01,yes,yes,yes,1,1,1,0,5,0,0,3,0,0,70,85,1,1,1,1,1,1,1,1
P_005\Day_5\Hour_21\11-29-2019 21_44_00,yes,yes,yes,1,1,1,0,1,0,0,1,0,0,60,75,1,1,1,1,1,1,1,1
P_005\Day_5\Hour_22\11-29-2019 22_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,61,72,1,1,1,1,1,1,0,-1
P_005\Day_5\Hour_6\11-29-2019 06_44_07,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_6\Hour_10\11-30-2019 10_44_00,yes,yes,yes,1,1,1,0,18,0,0,15,0,0,85,81,1,1,1,1,1,1,1,1
P_005\Day_6\Hour_11\11-30-2019 11_44_00,yes,yes,yes,1,1,1,0,1,0,0,1,0,0,100,81,1,1,1,1,1,1,1,1
P_005\Day_6\Hour_12\11-30-2019 12_44_00,yes,yes,no,1,0,1,0,3,0,0,-1,-1,-1,40,80,0,1,1,1,1,1,0,-1
P_005\Day_6\Hour_13\11-30-2019 13_44_00,yes,yes,yes,1,1,1,0,5,0,0,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_005\Day_6\Hour_14\11-30-2019 14_44_00,yes,yes,yes,1,1,1,0,15,0,0,15,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_005\Day_6\Hour_15\11-30-2019 15_44_00,yes,yes,yes,1,1,1,0,16,0,0,5,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_6\Hour_16\11-30-2019 16_44_02,yes,yes,yes,1,1,1,0,10,0,0,8,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_005\Day_6\Hour_17\11-30-2019 17_44_00,yes,yes,yes,1,1,1,0,10,0,0,8,0,0,82,81,1,1,1,1,1,1,1,1
P_005\Day_6\Hour_18\11-30-2019 18_44_00,yes,yes,yes,1,1,1,0,13,0,0,12,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_6\Hour_19\11-30-2019 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,88,83,1,1,1,1,1,1,0,-1
P_005\Day_6\Hour_20\11-30-2019 20_44_00,yes,yes,yes,1,1,1,0,1,0,0,2,0,0,74,81,1,1,1,1,1,1,1,1
P_005\Day_6\Hour_8\11-30-2019 08_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_005\Day_6\Hour_9\11-30-2019 09_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,24,68,0,1,1,1,1,1,0,-1
P_006\Day_0\Hour_17\12-22-2019 17_47_03,yes,yes,yes,1,1,1,28,11,10,0.909090909,6,4,0.666666667,71,73,1,1,1,1,1,1,1,1
P_006\Day_0\Hour_20\12-22-2019 20_38_03,yes,yes,yes,1,1,1,5,2,2,1,2,2,1,61,77,1,1,1,1,1,1,1,1
P_006\Day_1\Hour_19\12-16-2019 19_00_28,yes,yes,yes,1,1,1,37,15,14,0.933333333,13,13,1,74,93,1,1,1,1,1,1,0,-1
P_006\Day_1\Hour_20\12-16-2019 20_01_44,yes,yes,yes,1,1,1,46,14,13,0.928571429,17,17,1,78,86,1,1,1,1,1,1,0,-1
P_006\Day_2\Hour_19\12-17-2019 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,29,50,0,0,1,1,1,1,0,-1
P_006\Day_2\Hour_20\12-17-2019 20_44_00,yes,yes,yes,1,1,1,20,8,4,0.5,9,8,0.888888889,42,51,0,1,1,1,1,1,1,1
P_006\Day_2\Hour_7\12-17-2019 07_17_29,yes,yes,yes,1,1,1,0,5,0,0,2,0,0,66,75,1,1,1,1,1,1,1,1
P_006\Day_3\Hour_19\12-18-2019 19_25_41,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,73,82,1,1,1,1,1,1,0,-1
P_006\Day_3\Hour_20\12-18-2019 20_07_43,yes,yes,no,1,0,1,2,1,1,1,-1,-1,-1,71,79,1,1,1,1,1,1,0,-1
P_006\Day_3\Hour_7\12-18-2019 07_00_21,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,72,65,1,1,1,1,1,1,0,-1
P_006\Day_4\Hour_19\12-19-2019 19_04_09,no,no,no,0,0,1,24,-1,-1,-1,-1,-1,-1,72,74,1,1,1,1,1,1,0,-1
P_006\Day_4\Hour_20\12-19-2019 20_05_14,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,77,71,1,1,1,1,1,1,1,0
P_006\Day_4\Hour_7\12-19-2019 07_18_56,yes,yes,yes,1,1,1,34,9,8,0.888888889,9,9,1,79,73,1,1,1,1,1,1,1,1
P_006\Day_5\Hour_19\12-20-2019 19_07_40,yes,yes,yes,1,1,1,35,10,10,1,7,6,0.857142857,71,73,1,1,1,1,1,1,1,1
P_006\Day_5\Hour_20\12-20-2019 20_02_46,yes,yes,yes,1,1,1,12,3,3,1,4,4,1,60,79,1,1,1,1,1,1,1,1
P_006\Day_5\Hour_7\12-20-2019 07_14_35,yes,yes,yes,1,1,1,4,1,1,1,1,1,1,63,75,1,1,1,1,1,1,1,1
P_006\Day_6\Hour_10\12-21-2019 10_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
